"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","milan","2020-05-15",6400,"TIBALDI",45.44195,9.17797,"Apartment","Private room",1,3,1,"$100.00",4,5,23,100,700
"2","italy","milan","2020-05-15",17232,"BOVISA",45.50465,9.16087,"Condominium","Shared room",2,1,2,"$24.00",2,120,29,24,24
"3","italy","milan","2020-05-15",23986,"NAVIGLI",45.44991,9.17597,"Apartment","Entire home/apt",4,1,1,"$150.00",1,730,28,150,300
"4","italy","milan","2020-05-15",28300,"SARPI",45.47814,9.17294,"Condominium","Private room",2,1,2,"$200.00",1,14,30,NA,0
"5","italy","milan","2020-05-15",32119,"VIALE MONZA",45.51988,9.2231,"Apartment","Entire home/apt",4,1,4,"$75.00",3,730,0,83.3333333333333,2500
"6","italy","milan","2020-05-15",32649,"VIALE MONZA",45.51942,9.22615,"Apartment","Entire home/apt",4,1,3,"$70.00",3,730,29,70,70
"7","italy","milan","2020-05-15",37256,"GUASTALLA",45.47074,9.20578,"Apartment","Private room",1,1,1,"$55.00",2,730,30,NA,0
"8","italy","milan","2020-05-15",40470,"VIALE MONZA",45.52111,9.22727,"Apartment","Entire home/apt",4,2,4,"$75.00",3,90,0,75,2250
"9","italy","milan","2020-05-15",42732,"TICINESE",45.45664,9.17662,"Apartment","Entire home/apt",4,2,0,"$290.00",2,30,27,290,870
"10","italy","milan","2020-05-15",46536,"VIALE MONZA",45.52213,9.22693,"Apartment","Entire home/apt",5,1,5,"$75.00",3,730,29,75,75
"11","italy","milan","2020-05-15",52181,"BAGGIO",45.46443,9.09046,"Apartment","Entire home/apt",3,1,2,"$60.00",4,30,0,60,1800
"12","italy","milan","2020-05-15",55055,"BUENOS AIRES - VENEZIA",45.48055,9.21629,"Apartment","Entire home/apt",3,2,1,"$145.00",3,180,30,NA,0
"13","italy","milan","2020-05-15",59226,"GARIBALDI REPUBBLICA",45.48263,9.19674,"Apartment","Entire home/apt",2,1,1,"$150.00",2,10,27,150,450
"14","italy","milan","2020-05-15",65142,"CENTRALE",45.48023,9.20181,"Condominium","Entire home/apt",2,1,1,"$74.00",25,365,29,57,57
"15","italy","milan","2020-05-15",69749,"XXII MARZO",45.46739,9.20786,"Apartment","Entire home/apt",4,2,2,"$140.00",2,15,30,NA,0
"16","italy","milan","2020-05-15",70591,"SARPI",45.48207,9.17906,"Apartment","Private room",2,1,1,"$50.00",1,6,28,100,200
"17","italy","milan","2020-05-15",73892,"BRERA",45.47015,9.19134,"Apartment","Entire home/apt",2,1,1,"$94.00",2,60,29,120,120
"18","italy","milan","2020-05-15",74169,"BRERA",45.47169,9.18412,"Apartment","Entire home/apt",4,1,1,"$125.00",2,1125,27,125,375
"19","italy","milan","2020-05-15",74835,"DUOMO",45.4689,9.17943,"Apartment","Entire home/apt",2,1,1,"$280.00",7,16,0,280,8400
"20","italy","milan","2020-05-15",75741,"BRERA",45.47179,9.18378,"Apartment","Entire home/apt",2,1,1,"$150.00",2,60,0,150,4500
"21","italy","milan","2020-05-15",76671,"TICINESE",45.4559,9.17545,"Condominium","Entire home/apt",4,1,2,"$130.00",3,730,29,80,80
"22","italy","milan","2020-05-15",77958,"BRERA",45.47117,9.19135,"Apartment","Entire home/apt",2,1,1,"$100.00",2,365,2,100,2800
"23","italy","milan","2020-05-15",79696,"TICINESE",45.44844,9.1822,"Loft","Entire home/apt",3,1,2,"$90.00",2,1125,0,90,2700
"24","italy","milan","2020-05-15",81202,"ISOLA",45.49019,9.19659,"Apartment","Entire home/apt",2,1,1,"$75.00",3,14,29,205,205
"25","italy","milan","2020-05-15",81908,"BANDE NERE",45.45364,9.14172,"Apartment","Entire home/apt",4,2,4,"$250.00",7,365,30,NA,0
"26","italy","milan","2020-05-15",82227,"WASHINGTON",45.46438,9.16144,"Apartment","Entire home/apt",3,1,1,"$120.00",3,15,29,56,56
"27","italy","milan","2020-05-15",82635,"XXII MARZO",45.45853,9.21568,"Apartment","Entire home/apt",2,1,1,"$90.00",5,7,0,90,2700
"28","italy","milan","2020-05-15",83335,"PORTA ROMANA",45.4509,9.2117,"Apartment","Entire home/apt",4,1,2,"$75.00",3,7,3,190,5130
"29","italy","milan","2020-05-15",84741,"LAMBRATE",45.47057,9.24333,"Loft","Private room",2,1,1,"$27.00",2,30,30,NA,0
"30","italy","milan","2020-05-15",84903,"LAMBRATE",45.4708,9.24082,"Loft","Entire home/apt",6,1,3,"$45.00",2,16,28,45,90
"31","italy","milan","2020-05-15",88130,"VILLAPIZZONE",45.49743,9.14572,"Apartment","Entire home/apt",4,2,2,"$195.00",2,730,28,195,390
"32","italy","milan","2020-05-15",92978,"NAVIGLI",45.44716,9.17269,"Apartment","Private room",2,1,1,"$30.00",2,5,29,30,30
"33","italy","milan","2020-05-15",93025,"GUASTALLA",45.47169,9.19748,"Apartment","Entire home/apt",3,1,2,"$120.00",2,30,30,NA,0
"34","italy","milan","2020-05-15",93232,"XXII MARZO",45.46635,9.21423,"Apartment","Private room",1,1,1,"$60.00",5,60,29,55,55
"35","italy","milan","2020-05-15",93888,"CENTRALE",45.48336,9.20513,"Apartment","Entire home/apt",2,1,1,"$90.00",1,1125,30,NA,0
"36","italy","milan","2020-05-15",94233,"ISOLA",45.48712,9.193,"Apartment","Entire home/apt",4,1,2,"$95.00",1,730,0,95,2850
"37","italy","milan","2020-05-15",94354,"MACIACHINI - MAGGIOLINA",45.49765,9.19382,"Apartment","Private room",2,1,1,"$28.00",1,20,30,NA,0
"38","italy","milan","2020-05-15",98119,"ISOLA",45.4875,9.19183,"Apartment","Private room",2,1,1,"$65.00",2,365,0,65,1950
"39","italy","milan","2020-05-15",98500,"CITTA' STUDI",45.48539,9.22686,"Apartment","Entire home/apt",3,1,2,"$230.00",1,180,30,NA,0
"40","italy","milan","2020-05-15",100638,"ADRIANO",45.50695,9.23904,"Villa","Private room",1,2,1,"$30.00",1,365,0,30,900
"41","italy","milan","2020-05-15",101087,"STADERA",45.43079,9.18234,"Condominium","Entire home/apt",4,3,3,"$80.00",3,120,0,60,1800
"42","italy","milan","2020-05-15",102817,"S. CRISTOFORO",45.44421,9.15065,"Apartment","Entire home/apt",3,1,2,"$75.00",2,365,30,NA,0
"43","italy","milan","2020-05-15",104449,"ISOLA",45.48834,9.19086,"Apartment","Entire home/apt",2,1,1,"$120.00",2,30,27,120,360
"44","italy","milan","2020-05-15",105082,"BUENOS AIRES - VENEZIA",45.48064,9.20778,"Apartment","Private room",2,1,1,"$75.00",2,15,29,80,80
"45","italy","milan","2020-05-15",107529,"PARCO LAMBRO - CIMIANO",45.49103,9.23254,"Apartment","Private room",4,1,2,"$30.00",1,1124,30,NA,0
"46","italy","milan","2020-05-15",109384,"WASHINGTON",45.46378,9.15653,"Condominium","Entire home/apt",4,1,0,"$88.00",2,21,28,88,176
"47","italy","milan","2020-05-15",122514,"GIAMBELLINO",45.44908,9.15089,"Apartment","Entire home/apt",3,1,2,"$70.00",2,60,29,42,42
"48","italy","milan","2020-05-15",132705,"GUASTALLA",45.45934,9.20609,"Loft","Entire home/apt",2,0,1,"$70.00",30,185,0,72.4,2172
"49","italy","milan","2020-05-15",138071,"NAVIGLI",45.4518,9.16995,"Apartment","Entire home/apt",4,1,1,"$98.00",1,1125,30,NA,0
"50","italy","milan","2020-05-15",140134,"XXII MARZO",45.46573,9.20793,"Apartment","Private room",1,1,2,"$60.00",1,2,14,60,960
"51","italy","milan","2020-05-15",140874,"ISOLA",45.49466,9.18541,"Loft","Private room",2,1,1,"$59.00",1,150,29,59,59
"52","italy","milan","2020-05-15",141833,"DUOMO",45.46022,9.18279,"Apartment","Entire home/apt",2,1,1,"$180.00",15,1125,29,180,180
"53","italy","milan","2020-05-15",142784,"PADOVA",45.50364,9.22199,"Apartment","Private room",1,1,1,"$41.00",1,5,0,41,1230
"54","italy","milan","2020-05-15",143329,"BUENOS AIRES - VENEZIA",45.48263,9.21557,"Apartment","Entire home/apt",3,1,1,"$75.00",2,28,30,NA,0
"55","italy","milan","2020-05-15",155720,"NAVIGLI",45.44657,9.16734,"House","Private room",2,1,1,"$40.00",1,1125,30,NA,0
"56","italy","milan","2020-05-15",161605,"ORTOMERCATO",45.45661,9.22402,"Apartment","Private room",1,1,1,"$130.00",3,14,29,130,130
"57","italy","milan","2020-05-15",171017,"LORETO",45.495,9.21591,"Apartment","Entire home/apt",3,1,4,"$55.00",3,365,0,52.9,1587
"58","italy","milan","2020-05-15",172600,"DE ANGELI - MONTE ROSA",45.48148,9.14697,"Apartment","Entire home/apt",5,1,2,"$60.00",1,29,0,60,1800
"59","italy","milan","2020-05-15",179197,"TICINESE",45.44928,9.17868,"Apartment","Entire home/apt",4,1,3,"$75.00",1,30,0,75,2250
"60","italy","milan","2020-05-15",181682,"VIGENTINA",45.45682,9.19396,"Apartment","Private room",1,1,1,"$100.00",1,365,30,NA,0
"61","italy","milan","2020-05-15",181914,"S. CRISTOFORO",45.44427,9.15443,"Apartment","Entire home/apt",5,2,2,"$200.00",2,360,0,200,6000
"62","italy","milan","2020-05-15",186531,"GHISOLFA",45.49204,9.16744,"Bed and breakfast","Private room",3,1,3,"$180.00",1,365,30,NA,0
"63","italy","milan","2020-05-15",189441,"BOVISASCA",45.51623,9.15689,"Loft","Private room",1,1,0,"$35.00",2,10,30,NA,0
"64","italy","milan","2020-05-15",189457,"WASHINGTON",45.46267,9.15929,"Apartment","Entire home/apt",4,1,2,"$145.00",2,8,27,145,435
"65","italy","milan","2020-05-15",190321,"BANDE NERE",45.4571,9.14999,"Apartment","Entire home/apt",2,1,1,"$40.00",2,1124,0,40,1200
"66","italy","milan","2020-05-15",206450,"PORTA ROMANA",45.45126,9.20779,"Condominium","Entire home/apt",2,1,1,"$90.00",2,20,0,95,2850
"67","italy","milan","2020-05-15",214100,"WASHINGTON",45.45797,9.1534,"Apartment","Entire home/apt",2,1,1,"$65.00",3,760,28,65,130
"68","italy","milan","2020-05-15",215775,"BUENOS AIRES - VENEZIA",45.47351,9.21983,"Apartment","Entire home/apt",2,1,0,"$75.00",3,8,29,75,75
"69","italy","milan","2020-05-15",217238,"TORTONA",45.45562,9.15531,"Apartment","Private room",2,1,1,"$60.00",2,15,0,57,1710
"70","italy","milan","2020-05-15",218379,"NAVIGLI",45.45083,9.17193,"Loft","Private room",2,1,2,"$90.00",2,1125,14,90,1440
"71","italy","milan","2020-05-15",219701,"ISOLA",45.49466,9.18665,"Apartment","Private room",2,1,1,"$59.00",1,365,1,59,1711
"72","italy","milan","2020-05-15",219950,"LORENTEGGIO",45.45564,9.1219,"Apartment","Private room",2,1,1,"$60.00",2,5,0,62,1860
"73","italy","milan","2020-05-15",222900,"NAVIGLI",45.44822,9.15929,"Apartment","Entire home/apt",3,1,1,"$70.00",30,730,29,70,70
"74","italy","milan","2020-05-15",223611,"NAVIGLI",45.4493,9.17522,"Apartment","Entire home/apt",4,1,2,"$80.00",3,25,0,80,2400
"75","italy","milan","2020-05-15",225757,"TICINESE",45.44819,9.17855,"Apartment","Entire home/apt",4,1,1,"$97.00",2,30,0,97,2910
"76","italy","milan","2020-05-15",226939,"VILLAPIZZONE",45.49832,9.14647,"Loft","Private room",3,1,2,"$70.00",2,1125,30,NA,0
"77","italy","milan","2020-05-15",227032,"CITTA' STUDI",45.4834,9.23291,"Apartment","Entire home/apt",6,2,2,"$250.00",7,365,30,NA,0
"78","italy","milan","2020-05-15",229880,"ISOLA",45.48983,9.18704,"Apartment","Entire home/apt",2,1,1,"$99.00",1,30,30,NA,0
"79","italy","milan","2020-05-15",233795,"BRERA",45.4724,9.18603,"Apartment","Entire home/apt",4,2,0,"$850.00",1,365,30,NA,0
"80","italy","milan","2020-05-15",234090,"BUENOS AIRES - VENEZIA",45.47523,9.20644,"Bed and breakfast","Private room",2,1,1,"$40.00",1,365,0,40,1200
"81","italy","milan","2020-05-15",234244,"TICINESE",45.45734,9.17871,"Apartment","Entire home/apt",6,3,4,"$260.00",2,8,28,305,610
"82","italy","milan","2020-05-15",241305,"UMBRIA - MOLISE",45.4523,9.21511,"Apartment","Private room",2,1,1,"$40.00",1,365,29,40,40
"83","italy","milan","2020-05-15",253394,"GRATOSOGLIO - TICINELLO",45.40726,9.17282,"Apartment","Private room",2,1,0,"$27.00",60,635,0,27,810
"84","italy","milan","2020-05-15",255104,"DUOMO",45.46171,9.18815,"Apartment","Entire home/apt",4,1,0,"$250.00",1,365,30,NA,0
"85","italy","milan","2020-05-15",255276,"TIBALDI",45.44165,9.18075,"Apartment","Shared room",1,1,1,"$190.00",90,1124,28,17,34
"86","italy","milan","2020-05-15",255543,"TICINESE",45.44314,9.17991,"Apartment","Private room",3,1,1,"$30.00",1,30,30,NA,0
"87","italy","milan","2020-05-15",256390,"BUENOS AIRES - VENEZIA",45.46995,9.21773,"Apartment","Entire home/apt",4,2,4,"$135.00",3,20,28,135,270
"88","italy","milan","2020-05-15",256399,"PORTA ROMANA",45.44679,9.19871,"Condominium","Entire home/apt",4,2,2,"$80.00",2,30,0,40,1200
"89","italy","milan","2020-05-15",258000,"CENTRALE",45.48437,9.20399,"Apartment","Entire home/apt",3,1,1,"$90.00",1,60,30,NA,0
"90","italy","milan","2020-05-15",271845,"DUOMO",45.46241,9.18664,"Apartment","Entire home/apt",6,1,4,"$100.00",1,365,30,NA,0
"91","italy","milan","2020-05-15",272426,"SARPI",45.48299,9.17664,"Apartment","Entire home/apt",4,1,0,"$150.00",2,15,30,NA,0
"92","italy","milan","2020-05-15",272886,"DUOMO",45.46471,9.19448,"Serviced apartment","Entire home/apt",5,2,1,"$260.00",1,14,0,286,8580
"93","italy","milan","2020-05-15",272888,"DUOMO",45.46419,9.18824,"Serviced apartment","Entire home/apt",5,1,3,"$300.00",1,14,0,330,9900
"94","italy","milan","2020-05-15",272890,"DUOMO",45.46419,9.18824,"Serviced apartment","Entire home/apt",3,1,0,"$270.00",1,14,0,297,8910
"95","italy","milan","2020-05-15",272892,"DUOMO",45.46419,9.18824,"Serviced apartment","Entire home/apt",5,2,3,"$300.00",1,14,0,330,9900
"96","italy","milan","2020-05-15",272894,"DUOMO",45.46471,9.19448,"Serviced apartment","Entire home/apt",4,1,0,"$220.00",1,14,0,242,7260
"97","italy","milan","2020-05-15",272896,"DUOMO",45.46419,9.18824,"Serviced apartment","Entire home/apt",6,2,4,"$300.00",1,14,0,330,9900
"98","italy","milan","2020-05-15",273873,"DUOMO",45.46471,9.19448,"Serviced apartment","Entire home/apt",5,2,3,"$220.00",1,14,0,264,7920
"99","italy","milan","2020-05-15",277082,"MACIACHINI - MAGGIOLINA",45.49739,9.19419,"Apartment","Entire home/apt",4,1,0,"$70.00",5,30,28,70,140
"100","italy","milan","2020-05-15",279531,"BUENOS AIRES - VENEZIA",45.47526,9.20625,"Bed and breakfast","Private room",2,1,1,"$85.00",1,365,0,85,2550
"101","italy","milan","2020-05-15",281710,"GUASTALLA",45.46872,9.19938,"Apartment","Entire home/apt",4,1,2,"$88.00",2,31,30,NA,0
"102","italy","milan","2020-05-15",284449,"BUENOS AIRES - VENEZIA",45.48347,9.21507,"Apartment","Entire home/apt",2,1,1,"$59.00",4,90,0,59,1770
"103","italy","milan","2020-05-15",287030,"BUENOS AIRES - VENEZIA",45.48071,9.21308,"Apartment","Entire home/apt",4,1,2,"$100.00",1,365,0,100,3000
"104","italy","milan","2020-05-15",289063,"GUASTALLA",45.46646,9.20098,"Apartment","Entire home/apt",2,1,1,"$60.00",30,365,30,NA,0
"105","italy","milan","2020-05-15",291341,"SARPI",45.48231,9.16618,"Apartment","Entire home/apt",1,1,1,"$85.00",7,365,0,85,2550
"106","italy","milan","2020-05-15",295967,"BOVISASCA",45.51462,9.16111,"Apartment","Private room",2,1,1,"$45.00",1,30,29,45,45
"107","italy","milan","2020-05-15",297007,"GARIBALDI REPUBBLICA",45.4825,9.18386,"Apartment","Private room",1,1,1,"$45.00",1,16,27,38,114
"108","italy","milan","2020-05-15",298601,"BUENOS AIRES - VENEZIA",45.47163,9.2112,"Condominium","Entire home/apt",2,1,0,"$500.00",7,1125,4,500,13000
"109","italy","milan","2020-05-15",300780,"VILLAPIZZONE",45.49123,9.15243,"Apartment","Entire home/apt",3,1,4,"$90.00",5,30,0,70,2100
"110","italy","milan","2020-05-15",301889,"BUENOS AIRES - VENEZIA",45.47526,9.20625,"House","Entire home/apt",8,5,8,"$450.00",2,1125,30,NA,0
"111","italy","milan","2020-05-15",302491,"RIPAMONTI",45.43278,9.20346,"Apartment","Private room",2,1,0,"$43.00",60,365,23,43,301
"112","italy","milan","2020-05-15",302492,"RIPAMONTI",45.4327,9.20243,"Apartment","Private room",2,1,0,"$45.00",5,365,30,NA,0
"113","italy","milan","2020-05-15",303469,"BANDE NERE",45.45949,9.14966,"Apartment","Entire home/apt",2,1,0,"$70.00",60,180,27,69,207
"114","italy","milan","2020-05-15",304050,"XXII MARZO",45.45879,9.21426,"Apartment","Private room",1,1,1,"$40.00",1,30,30,NA,0
"115","italy","milan","2020-05-15",304921,"MACIACHINI - MAGGIOLINA",45.49758,9.19371,"Apartment","Shared room",1,1,1,"$21.00",1,2,29,20,20
"116","italy","milan","2020-05-15",309905,"TICINESE",45.44291,9.17741,"Apartment","Entire home/apt",5,2,3,"$100.00",2,1125,28,100,200
"117","italy","milan","2020-05-15",312428,"TICINESE",45.4497,9.17912,"Condominium","Entire home/apt",4,1,1,"$143.00",6,60,0,85,2550
"118","italy","milan","2020-05-15",317024,"BUENOS AIRES - VENEZIA",45.47867,9.206,"Apartment","Private room",1,1,1,"$70.00",1,14,0,70,2100
"119","italy","milan","2020-05-15",326190,"SARPI",45.48064,9.18215,"Apartment","Entire home/apt",2,1,1,"$56.00",4,25,0,56,1680
"120","italy","milan","2020-05-15",326369,"PORTELLO",45.48253,9.15379,"Apartment","Entire home/apt",3,2,3,"$85.00",3,90,0,85,2550
"121","italy","milan","2020-05-15",329995,"BUENOS AIRES - VENEZIA",45.48461,9.21601,"Apartment","Private room",2,1,1,"$60.00",2,30,0,63.3333333333333,1900
"122","italy","milan","2020-05-15",332277,"SACCO",45.51761,9.11966,"Apartment","Private room",2,1,1,"$80.00",2,30,27,60,180
"123","italy","milan","2020-05-15",333223,"WASHINGTON",45.45902,9.16438,"Apartment","Private room",2,1,2,"$300.00",1,60,30,NA,0
"124","italy","milan","2020-05-15",335477,"PADOVA",45.50077,9.22254,"Apartment","Entire home/apt",2,0,1,"$40.00",2,1125,27,21,63
"125","italy","milan","2020-05-15",335516,"PADOVA",45.50077,9.22254,"Apartment","Entire home/apt",2,0,1,"$40.00",2,1825,1,21,609
"126","italy","milan","2020-05-15",335617,"PADOVA",45.50031,9.22105,"Apartment","Entire home/apt",2,0,1,"$40.00",2,1825,29,21,21
"127","italy","milan","2020-05-15",335766,"TICINESE",45.45197,9.18093,"Loft","Entire home/apt",4,2,2,"$170.00",4,10,29,170,170
"128","italy","milan","2020-05-15",336724,"BRERA",45.47793,9.18703,"Apartment","Entire home/apt",4,2,0,"$180.00",2,1125,29,220,220
"129","italy","milan","2020-05-15",340240,"LAMBRATE",45.48171,9.24407,"Apartment","Private room",3,1,2,"$30.00",1,15,23,30,210
"130","italy","milan","2020-05-15",341076,"PARCO LAMBRO - CIMIANO",45.49677,9.23943,"Apartment","Entire home/apt",3,1,0,"$62.00",3,30,30,NA,0
"131","italy","milan","2020-05-15",343870,"TIBALDI",45.4386,9.17903,"Apartment","Private room",2,1,1,"$39.00",30,1125,29,39,39
"132","italy","milan","2020-05-15",346020,"UMBRIA - MOLISE",45.45696,9.22077,"Apartment","Entire home/apt",2,1,1,"$65.00",1,29,0,75,2250
"133","italy","milan","2020-05-15",347886,"BUENOS AIRES - VENEZIA",45.47649,9.20701,"Apartment","Entire home/apt",2,0,1,"$60.00",15,360,30,NA,0
"134","italy","milan","2020-05-15",348448,"BRERA",45.47462,9.18766,"Apartment","Entire home/apt",2,1,0,"$73.00",1,90,28,73,146
"135","italy","milan","2020-05-15",357951,"BUENOS AIRES - VENEZIA",45.47546,9.20675,"Apartment","Entire home/apt",3,0,0,"$70.00",2,1125,27,70,210
"136","italy","milan","2020-05-15",359022,"XXII MARZO",45.45713,9.20655,"Apartment","Private room",2,1,1,"$59.00",2,15,0,59,1770
"137","italy","milan","2020-05-15",361030,"PARCO LAMBRO - CIMIANO",45.49104,9.23208,"Condominium","Private room",5,1,3,"$30.00",1,1124,30,NA,0
"138","italy","milan","2020-05-15",364897,"TICINESE",45.4547,9.1762,"Apartment","Entire home/apt",4,1,2,"$93.00",2,1125,29,93,93
"139","italy","milan","2020-05-15",364919,"BUENOS AIRES - VENEZIA",45.48225,9.21359,"Apartment","Entire home/apt",2,1,0,"$170.00",7,14,27,180,540
"140","italy","milan","2020-05-15",365083,"BRERA",45.47622,9.1838,"Apartment","Private room",1,1,1,"$50.00",1,365,30,NA,0
"141","italy","milan","2020-05-15",365118,"S. CRISTOFORO",45.44355,9.15974,"Loft","Entire home/apt",4,1,4,"$220.00",3,365,30,NA,0
"142","italy","milan","2020-05-15",367858,"TORTONA",45.45407,9.16907,"Apartment","Entire home/apt",3,1,2,"$80.00",2,15,29,80,80
"143","italy","milan","2020-05-15",370033,"BUENOS AIRES - VENEZIA",45.47713,9.20352,"Apartment","Entire home/apt",2,1,2,"$100.00",2,7,0,100,3000
"144","italy","milan","2020-05-15",374326,"BUENOS AIRES - VENEZIA",45.47134,9.21582,"Apartment","Private room",2,1,1,"$37.00",2,16,14,39.375,630
"145","italy","milan","2020-05-15",375429,"PARCO FORLANINI - ORTICA",45.47064,9.24432,"Loft","Entire home/apt",5,2,0,"$72.00",1,30,0,68.8,2064
"146","italy","milan","2020-05-15",379677,"BOVISA",45.50126,9.1689,"Loft","Entire home/apt",6,2,4,"$500.00",3,21,30,NA,0
"147","italy","milan","2020-05-15",381512,"DUOMO",45.46809,9.18266,"Apartment","Entire home/apt",4,2,2,"$300.00",1,1125,27,300,900
"148","italy","milan","2020-05-15",381807,"ISOLA",45.4868,9.19233,"Apartment","Entire home/apt",4,1,2,"$40.00",2,365,0,40,1200
"149","italy","milan","2020-05-15",383529,"BUENOS AIRES - VENEZIA",45.48317,9.21388,"Apartment","Entire home/apt",2,1,2,"$80.00",3,1125,0,80,2400
"150","italy","milan","2020-05-15",383918,"TICINESE",45.45034,9.17828,"Loft","Entire home/apt",2,1,1,"$130.00",5,365,0,130,3900
"151","italy","milan","2020-05-15",384005,"BRERA",45.47043,9.18487,"Apartment","Entire home/apt",2,1,1,"$150.00",3,1124,30,NA,0
"152","italy","milan","2020-05-15",385378,"SARPI",45.48167,9.17571,"Apartment","Private room",2,1,1,"$80.00",2,180,30,NA,0
"153","italy","milan","2020-05-15",385469,"DUOMO",45.46399,9.17602,"Apartment","Entire home/apt",3,1,1,"$70.00",2,30,29,70,70
"154","italy","milan","2020-05-15",386235,"LORETO",45.48912,9.2117,"Apartment","Entire home/apt",2,1,1,"$350.00",3,21,0,350,10500
"155","italy","milan","2020-05-15",387543,"STADERA",45.43695,9.18261,"Apartment","Entire home/apt",3,1,1,"$59.00",5,1125,15,43,645
"156","italy","milan","2020-05-15",390076,"VIGENTINA",45.45014,9.19347,"Apartment","Entire home/apt",4,2,4,"$55.00",30,365,0,82.3,2469
"157","italy","milan","2020-05-15",391334,"PADOVA",45.50207,9.23502,"Apartment","Private room",2,1,0,"$32.00",1,300,30,NA,0
"158","italy","milan","2020-05-15",392515,"CENTRALE",45.48902,9.20437,"Apartment","Private room",4,1,3,"$55.00",1,30,29,95,95
"159","italy","milan","2020-05-15",392891,"BUENOS AIRES - VENEZIA",45.47007,9.21574,"Apartment","Entire home/apt",4,1,2,"$360.00",5,7,23,360,2520
"160","italy","milan","2020-05-15",394443,"UMBRIA - MOLISE",45.45117,9.21954,"Apartment","Entire home/apt",4,3,3,"$150.00",2,20,1,150,4350
"161","italy","milan","2020-05-15",395037,"BUENOS AIRES - VENEZIA",45.47992,9.2103,"Apartment","Entire home/apt",4,1,2,"$109.00",4,100,1,109,3161
"162","italy","milan","2020-05-15",396939,"CENTRALE",45.49036,9.20281,"Apartment","Private room",2,1,0,"$41.00",1,1125,30,NA,0
"163","italy","milan","2020-05-15",396940,"WASHINGTON",45.46124,9.16048,"Apartment","Private room",2,1,1,"$80.00",1,365,29,80,80
"164","italy","milan","2020-05-15",397875,"LAMBRATE",45.4704,9.24223,"Apartment","Entire home/apt",3,1,1,"$42.00",2,365,0,42.5333333333333,1276
"165","italy","milan","2020-05-15",399142,"SARPI",45.48321,9.16747,"Apartment","Entire home/apt",1,1,1,"$85.00",7,365,0,85,2550
"166","italy","milan","2020-05-15",400220,"SARPI",45.48204,9.16813,"Apartment","Entire home/apt",2,1,1,"$85.00",4,1125,0,85,2550
"167","italy","milan","2020-05-15",400300,"GUASTALLA",45.46658,9.20577,"Apartment","Entire home/apt",4,2,3,"$275.00",2,15,28,285,570
"168","italy","milan","2020-05-15",401916,"WASHINGTON",45.46341,9.14894,"Apartment","Entire home/apt",4,1,2,"$220.00",7,30,0,220,6600
"169","italy","milan","2020-05-15",402406,"GARIBALDI REPUBBLICA",45.48263,9.18405,"Apartment","Entire home/apt",2,1,1,"$139.00",5,730,16,139,1946
"170","italy","milan","2020-05-15",402422,"LODI - CORVETTO",45.44142,9.22337,"Apartment","Entire home/apt",2,1,1,"$70.00",2,10,29,90,90
"171","italy","milan","2020-05-15",402812,"UMBRIA - MOLISE",45.45332,9.2177,"Apartment","Entire home/apt",2,1,1,"$200.00",10,60,0,200,6000
"172","italy","milan","2020-05-15",403041,"ISOLA",45.49148,9.18277,"Apartment","Entire home/apt",3,1,1,"$93.00",2,15,23,110,770
"173","italy","milan","2020-05-15",403341,"GRATOSOGLIO - TICINELLO",45.42322,9.17176,"Apartment","Private room",2,1,1,"$40.00",2,20,9,41.4285714285714,870
"174","italy","milan","2020-05-15",403602,"DUOMO",45.46076,9.18895,"Apartment","Entire home/apt",3,1,3,"$233.00",1,30,28,125,250
"175","italy","milan","2020-05-15",404938,"VIALE MONZA",45.51204,9.22412,"Apartment","Private room",2,1,1,"$40.00",2,7,0,40,1200
"176","italy","milan","2020-05-15",405055,"S. CRISTOFORO",45.445,9.1586,"Loft","Entire home/apt",4,1,2,"$98.00",3,1125,0,98,2940
"177","italy","milan","2020-05-15",405061,"VIALE MONZA",45.51041,9.22423,"Apartment","Private room",2,1,1,"$40.00",2,7,0,40,1200
"178","italy","milan","2020-05-15",405089,"PADOVA",45.50333,9.22598,"Apartment","Private room",1,1,1,"$70.00",3,14,28,70,140
"179","italy","milan","2020-05-15",405220,"DUOMO",45.46136,9.18289,"Apartment","Private room",2,1,1,"$60.00",5,12,28,60,120
"180","italy","milan","2020-05-15",406218,"PAGANO",45.4667,9.15799,"Apartment","Private room",1,2,2,"$60.00",4,90,26,60,240
"181","italy","milan","2020-05-15",406353,"NAVIGLI",45.44864,9.17415,"Apartment","Entire home/apt",2,1,1,"$125.00",3,180,30,NA,0
"182","italy","milan","2020-05-15",407859,"NAVIGLI",45.45213,9.17231,"Apartment","Private room",2,1,1,"$150.00",1,1125,30,NA,0
"183","italy","milan","2020-05-15",409123,"GIAMBELLINO",45.45163,9.15124,"Apartment","Private room",1,1,1,"$27.00",3,365,0,27,810
"184","italy","milan","2020-05-15",409414,"CENTRALE",45.47894,9.20072,"Apartment","Private room",1,1,1,"$48.00",1,30,30,NA,0
"185","italy","milan","2020-05-15",409985,"ISOLA",45.49162,9.18314,"Apartment","Entire home/apt",4,2,2,"$145.00",1,1125,21,128,1152
"186","italy","milan","2020-05-15",410480,"CITTA' STUDI",45.47921,9.23569,"Apartment","Shared room",1,1,1,"$25.00",1,30,28,25,50
